,Model 1,Model 2,Model 3,Model 4,Model 5,Model 6,Model 7,Model 8,Model 9,Model 10,Model 11,Model 12,Model 13,Model 14,Model 15
16,0.6911764740943909,0.6916666626930237,0.7004901766777039,0.7117646932601929,0.7299019694328308,0.7245097756385803,0.7568627595901489,0.7495098114013672,0.7495098114013672,0.7583333253860474,0.7632352709770203,0.7813725471496582,0.7681372761726379,0.7745097875595093,0.7843137383460999
17,0.6985294222831726,0.6843137145042419,0.7073529362678528,0.7132353186607361,0.7313725352287292,0.7289215922355652,0.7578431367874146,0.7598039507865906,0.7426470518112183,0.7715686559677124,0.7578431367874146,0.7823529243469238,0.7735294103622437,0.7803921699523926,0.7749999761581421
18,0.6897059082984924,0.6916666626930237,0.7107843160629272,0.7151960730552673,0.7225490212440491,0.7362744808197021,0.7598039507865906,0.761274516582489,0.748039186000824,0.7749999761581421,0.7686274647712708,0.7749999761581421,0.7745097875595093,0.7774509787559509,0.7936274409294128
19,0.6960784196853638,0.695588231086731,0.70686274766922,0.718137264251709,0.7377451062202454,0.7318627238273621,0.7617647051811218,0.7661764621734619,0.7534313797950745,0.7784313559532166,0.7715686559677124,0.7823529243469238,0.7813725471496582,0.7833333611488342,0.7897058725357056
20,0.7009803652763367,0.6985294222831726,0.7112745046615601,0.7240195870399475,0.7431372404098511,0.7348039150238037,0.7696078419685364,0.7769607901573181,0.7549019455909729,0.770588219165802,0.7764706015586853,0.7897058725357056,0.783823549747467,0.7872549295425415,0.7955882549285889
21,0.6990196108818054,0.7024509906768799,0.7225490212440491,0.720588207244873,0.7367647290229797,0.7372549176216125,0.770588219165802,0.7686274647712708,0.7622548937797546,0.7715686559677124,0.7754902243614197,0.7921568751335144,0.7852941155433655,0.7911764979362488,0.79313725233078
22,0.7019608020782471,0.6965686082839966,0.7186274528503418,0.7250000238418579,0.7372549176216125,0.7416666746139526,0.772549033164978,0.7784313559532166,0.7583333253860474,0.783823549747467,0.7740195989608765,0.7843137383460999,0.7892156839370728,0.7906862497329712,0.8009803891181946
23,0.7029411792755127,0.6980392336845398,0.7240195870399475,0.7264705896377563,0.7411764860153198,0.7465686202049255,0.7735294103622437,0.7813725471496582,0.7696078419685364,0.7813725471496582,0.7808823585510254,0.8029412031173706,0.7946078181266785,0.7877451181411743,0.7955882549285889
24,0.7029411792755127,0.6990196108818054,0.7240195870399475,0.7338235378265381,0.7460784316062927,0.7465686202049255,0.7710784077644348,0.7862744927406311,0.748039186000824,0.7872549295425415,0.779411792755127,0.8019607663154602,0.795098066329956,0.8014705777168274,0.7980391979217529
25,0.6950980424880981,0.6980392336845398,0.727450966835022,0.7313725352287292,0.7485294342041016,0.7544117569923401,0.779411792755127,0.7823529243469238,0.7617647051811218,0.7887254953384399,0.7877451181411743,0.800000011920929,0.7955882549285889,0.7980391979217529,0.8049019575119019
26,0.7058823704719543,0.704901933670044,0.7235293984413147,0.7348039150238037,0.7460784316062927,0.7490196228027344,0.7784313559532166,0.7799019813537598,0.7607843279838562,0.7906862497329712,0.7813725471496582,0.8039215803146362,0.8009803891181946,0.795098066329956,0.7995098233222961
